,journee,journee_nom,classement,nb_pts,equipe,nb_matchs_joues,victoire,nul,defaite,bonus,pts_marques,pts_pris,ga
0,1,TOP 14 Orange 2009-2010 - 1ère journée,1,5,Brive,1,1,0,0,1,30,9,21
1,1,TOP 14 Orange 2009-2010 - 1ère journée,2,4,Castres,1,1,0,0,0,24,12,12
2,1,TOP 14 Orange 2009-2010 - 1ère journée,3,4,Clermont,1,1,0,0,0,37,28,9
3,1,TOP 14 Orange 2009-2010 - 1ère journée,4,4,Perpignan,1,1,0,0,0,28,20,8
4,1,TOP 14 Orange 2009-2010 - 1ère journée,5,4,Racing 92,1,1,0,0,0,19,13,6
5,1,TOP 14 Orange 2009-2010 - 1ère journée,6,4,Toulouse,1,1,0,0,0,17,16,1
6,1,TOP 14 Orange 2009-2010 - 1ère journée,7,2,Paris,1,0,1,0,0,22,22,
7,1,TOP 14 Orange 2009-2010 - 1ère journée,8,2,Toulon,1,0,1,0,0,22,22,
8,1,TOP 14 Orange 2009-2010 - 1ère journée,9,1,Montauban,1,0,0,1,1,16,17,
9,1,TOP 14 Orange 2009-2010 - 1ère journée,10,1,Albi,1,0,0,1,1,13,19,
10,1,TOP 14 Orange 2009-2010 - 1ère journée,11,0,Bayonne,1,0,0,1,0,20,28,
11,1,TOP 14 Orange 2009-2010 - 1ère journée,12,0,Bourgoin,1,0,0,1,0,28,37,
12,1,TOP 14 Orange 2009-2010 - 1ère journée,13,0,Biarritz,1,0,0,1,0,12,24,
13,1,TOP 14 Orange 2009-2010 - 1ère journée,14,0,Montpellier,1,0,0,1,0,9,30,
14,2,TOP 14 Orange 2009-2010 - 2ème journée,1,9,Toulouse,2,2,0,0,1,55,16,39
15,2,TOP 14 Orange 2009-2010 - 2ème journée,2,9,Clermont,2,2,0,0,1,74,44,30
16,2,TOP 14 Orange 2009-2010 - 2ème journée,3,8,Castres,2,2,0,0,0,53,21,32
17,2,TOP 14 Orange 2009-2010 - 2ème journée,4,6,Toulon,2,1,1,0,0,49,35,14
18,2,TOP 14 Orange 2009-2010 - 2ème journée,5,5,Biarritz,2,1,0,1,1,51,30,21
19,2,TOP 14 Orange 2009-2010 - 2ème journée,6,5,Perpignan,2,1,0,1,1,40,38,2
20,2,TOP 14 Orange 2009-2010 - 2ème journée,7,5,Brive,2,1,0,1,1,30,47,
21,2,TOP 14 Orange 2009-2010 - 2ème journée,8,4,Bayonne,2,1,0,1,0,58,52,6
22,2,TOP 14 Orange 2009-2010 - 2ème journée,9,4,Racing 92,2,1,0,1,0,32,40,
23,2,TOP 14 Orange 2009-2010 - 2ème journée,10,4,Montpellier,2,1,0,1,0,27,42,
24,2,TOP 14 Orange 2009-2010 - 2ème journée,11,2,Paris,2,0,1,1,0,46,60,
25,2,TOP 14 Orange 2009-2010 - 2ème journée,12,1,Montauban,2,0,0,2,1,32,54,
26,2,TOP 14 Orange 2009-2010 - 2ème journée,13,1,Albi,2,0,0,2,1,19,58,
27,2,TOP 14 Orange 2009-2010 - 2ème journée,14,0,Bourgoin,2,0,0,2,0,37,66,
28,3,TOP 14 Orange 2009-2010 - 3ème journée,1,11,Clermont,3,2,1,0,1,83,53,30
29,3,TOP 14 Orange 2009-2010 - 3ème journée,2,10,Toulouse,3,2,0,1,2,70,33,37
30,3,TOP 14 Orange 2009-2010 - 3ème journée,3,10,Castres,3,2,1,0,0,71,39,32
31,3,TOP 14 Orange 2009-2010 - 3ème journée,4,10,Toulon,3,2,1,0,0,64,44,20
32,3,TOP 14 Orange 2009-2010 - 3ème journée,5,9,Perpignan,3,2,0,1,1,57,53,4
33,3,TOP 14 Orange 2009-2010 - 3ème journée,6,8,Racing 92,3,2,0,1,0,50,49,1
34,3,TOP 14 Orange 2009-2010 - 3ème journée,7,7,Brive,3,1,1,1,1,39,56,
35,3,TOP 14 Orange 2009-2010 - 3ème journée,8,6,Biarritz,3,1,0,2,2,68,52,16
36,3,TOP 14 Orange 2009-2010 - 3ème journée,9,6,Paris,3,1,1,1,0,89,86,3
37,3,TOP 14 Orange 2009-2010 - 3ème journée,10,4,Bayonne,3,1,0,2,0,67,70,
38,3,TOP 14 Orange 2009-2010 - 3ème journée,11,4,Bourgoin,3,1,0,2,0,59,83,
39,3,TOP 14 Orange 2009-2010 - 3ème journée,12,4,Montpellier,3,1,0,2,0,53,85,
40,3,TOP 14 Orange 2009-2010 - 3ème journée,13,3,Montauban,3,0,1,2,1,50,72,
41,3,TOP 14 Orange 2009-2010 - 3ème journée,14,2,Albi,3,0,0,3,2,28,73,
42,4,TOP 14 Orange 2009-2010 - 4ème journée,1,15,Castres,4,3,1,0,1,96,60,36
43,4,TOP 14 Orange 2009-2010 - 4ème journée,2,14,Toulouse,4,3,0,1,2,91,50,41
44,4,TOP 14 Orange 2009-2010 - 4ème journée,3,14,Toulon,4,3,1,0,0,90,65,25
45,4,TOP 14 Orange 2009-2010 - 4ème journée,4,13,Perpignan,4,3,0,1,1,78,62,16
