season|day_url|day|classement|nb_pts|equipe|nb_matchs_joues|victoire|nul|defaite|bonus|pts_marques|pts_pris|ga
2017-2018|/rugby-top-14/classement-rugby-top-14?season=24725&day=24651|1|1.0|5.0|Montpellier Hérault Rugby|1.0|1.0|0.0|0.0|1.0|48.0|19.0|29.0
2017-2018|/rugby-top-14/classement-rugby-top-14?season=24725&day=24651|1|2.0|4.0|RC Toulon|1.0|1.0|0.0|0.0|0.0|41.0|14.0|27.0
2017-2018|/rugby-top-14/classement-rugby-top-14?season=24725&day=24651|1|3.0|4.0|LOU Rugby|1.0|1.0|0.0|0.0|0.0|25.0|16.0|9.0
2017-2018|/rugby-top-14/classement-rugby-top-14?season=24725&day=24651|1|4.0|4.0|Stade Rochelais|1.0|1.0|0.0|0.0|0.0|19.0|10.0|9.0
2017-2018|/rugby-top-14/classement-rugby-top-14?season=24725&day=24651|1|5.0|4.0|Union Bordeaux-Bègles|1.0|1.0|0.0|0.0|0.0|32.0|25.0|7.0
2017-2018|/rugby-top-14/classement-rugby-top-14?season=24725&day=24651|1|6.0|4.0|Racing 92|1.0|1.0|0.0|0.0|0.0|25.0|21.0|4.0
2017-2018|/rugby-top-14/classement-rugby-top-14?season=24725&day=24651|1|7.0|2.0|Stade Toulousain|1.0|0.0|1.0|0.0|0.0|23.0|23.0|
2017-2018|/rugby-top-14/classement-rugby-top-14?season=24725&day=24651|1|8.0|2.0|Oyonnax|1.0|0.0|1.0|0.0|0.0|23.0|23.0|
2017-2018|/rugby-top-14/classement-rugby-top-14?season=24725&day=24651|1|9.0|1.0|Castres Olympique|1.0|0.0|0.0|1.0|1.0|21.0|25.0|4.0
2017-2018|/rugby-top-14/classement-rugby-top-14?season=24725&day=24651|1|10.0|0.0|ASM Clermont|1.0|0.0|0.0|1.0|0.0|25.0|32.0|7.0
2017-2018|/rugby-top-14/classement-rugby-top-14?season=24725&day=24651|1|11.0|0.0|Stade Français Paris|1.0|0.0|0.0|1.0|0.0|16.0|25.0|9.0
2017-2018|/rugby-top-14/classement-rugby-top-14?season=24725&day=24651|1|12.0|0.0|Brive|1.0|0.0|0.0|1.0|0.0|10.0|19.0|9.0
2017-2018|/rugby-top-14/classement-rugby-top-14?season=24725&day=24651|1|13.0|0.0|Section Paloise|1.0|0.0|0.0|1.0|0.0|14.0|41.0|27.0
2017-2018|/rugby-top-14/classement-rugby-top-14?season=24725&day=24651|1|14.0|0.0|SU Agen|1.0|0.0|0.0|1.0|0.0|19.0|48.0|29.0
2017-2018|/rugby-top-14/classement-rugby-top-14?season=24725&day=24649|2|1.0|10.0|Montpellier Hérault Rugby|2.0|2.0|0.0|0.0|2.0|85.0|25.0|60.0
2017-2018|/rugby-top-14/classement-rugby-top-14?season=24725&day=24649|2|2.0|8.0|LOU Rugby|2.0|2.0|0.0|0.0|0.0|54.0|30.0|24.0
2017-2018|/rugby-top-14/classement-rugby-top-14?season=24725&day=24649|2|3.0|6.0|Castres Olympique|2.0|1.0|0.0|1.0|2.0|54.0|44.0|10.0
2017-2018|/rugby-top-14/classement-rugby-top-14?season=24725&day=24649|2|4.0|6.0|Stade Toulousain|2.0|1.0|1.0|0.0|0.0|46.0|42.0|4.0
2017-2018|/rugby-top-14/classement-rugby-top-14?season=24725&day=24649|2|5.0|5.0|RC Toulon|2.0|1.0|0.0|1.0|1.0|57.0|35.0|22.0
2017-2018|/rugby-top-14/classement-rugby-top-14?season=24725&day=24649|2|6.0|5.0|Racing 92|2.0|1.0|0.0|1.0|1.0|44.0|44.0|
