|season_url|day_url|season_id|season_day|date|team_dom|team_ext|score_dom|score_ext|bonus_dom|bonus_ext|day_of_week|day_of_month|month|label|classement_dom|nb_pts_dom|nb_matchs_joues_dom|victoire_dom|nul_dom|defaite_dom|nb_bonus_dom|pts_marques_dom|pts_pris_dom|ga_dom|classement_ext|nb_pts_ext|nb_matchs_joues_ext|victoire_ext|nul_ext|defaite_ext|nb_bonus_ext|pts_marques_ext|pts_pris_ext|ga_ext
0|/rugby-top-14/calendrier-resultats-rugby-top-14?season=24725&day=all|/rugby-top-14/calendrier-resultats-rugby-top-14?season=24725&day=24647|2017-2018|3|Samedi 09 Septembre|Brive|Racing 92|6|25|0|Bo|Samedi|09|septembre|False|14.0|0.0|2.0|0.0|0.0|2.0|0.0|24.0|48.0|24.0|6.0|5.0|2.0|1.0|0.0|1.0|1.0|44.0|44.0|
1|/rugby-top-14/calendrier-resultats-rugby-top-14?season=24725&day=all|/rugby-top-14/calendrier-resultats-rugby-top-14?season=24725&day=24645|2017-2018|4|Dimanche 17 Septembre|Racing 92|Oyonnax|25|13|0|0|Dimanche|17|septembre|True|2.0|10.0|3.0|2.0|0.0|1.0|2.0|69.0|50.0|19.0|9.0|6.0|3.0|1.0|1.0|1.0|0.0|41.0|70.0|29.0
2|/rugby-top-14/calendrier-resultats-rugby-top-14?season=24725&day=all|/rugby-top-14/calendrier-resultats-rugby-top-14?season=24725&day=24629|2017-2018|12|Samedi 02 Décembre|Brive|Oyonnax|33|30|0|Bd|Samedi|02|decembre|True|13.0|11.0|11.0|2.0|1.0|8.0|1.0|178.0|354.0|176.0|14.0|10.0|11.0|1.0|2.0|8.0|2.0|195.0|365.0|170.0
3|/rugby-top-14/calendrier-resultats-rugby-top-14?season=24725&day=all|/rugby-top-14/calendrier-resultats-rugby-top-14?season=24725&day=24625|2017-2018|14|Samedi 30 Décembre|Oyonnax|Racing 92|12|16|Bd|0|Samedi|30|decembre|False|14.0|11.0|13.0|1.0|2.0|10.0|3.0|250.0|447.0|197.0|4.0|37.0|13.0|8.0|0.0|5.0|5.0|299.0|230.0|69.0
4|/rugby-top-14/calendrier-resultats-rugby-top-14?season=24725&day=all|/rugby-top-14/calendrier-resultats-rugby-top-14?season=24725&day=24615|2017-2018|19|Samedi 03 Mars|Racing 92|Brive|17|13|0|Bd|Samedi|03|mars|True|2.0|54.0|18.0|12.0|0.0|6.0|6.0|425.0|297.0|128.0|13.0|25.0|18.0|5.0|1.0|12.0|3.0|334.0|532.0|198.0
5|/rugby-top-14/calendrier-resultats-rugby-top-14?season=24725&day=all|/rugby-top-14/calendrier-resultats-rugby-top-14?season=24725&day=24605|2017-2018|24|Samedi 14 Avril|Oyonnax|Brive|40|17|0|0|Samedi|14|avril|True|14.0|30.0|23.0|5.0|3.0|15.0|4.0|484.0|735.0|251.0|13.0|32.0|23.0|6.0|1.0|16.0|6.0|424.0|636.0|212.0
6|/rugby-top-14/calendrier-resultats-rugby-top-14?season=27591&day=all|/rugby-top-14/calendrier-resultats-rugby-top-14?season=27591&day=27555|2018-2019|19|Samedi 16 Mars|RC Toulon|Montpellier Hérault Rugby|18|21|Bd|0|Samedi|16|mars|False|10.0|37.0|18.0|8.0|0.0|10.0|5.0|355.0|376.0|21.0|9.0|38.0|18.0|7.0|1.0|10.0|8.0|427.0|397.0|30.0
7|/rugby-top-14/calendrier-resultats-rugby-top-14?season=27591&day=all|/rugby-top-14/calendrier-resultats-rugby-top-14?season=27591&day=27555|2018-2019|19|Samedi 16 Mars|Castres Olympique|USA Perpignan|36|17|Bo|0|Samedi|16|mars|True|5.0|49.0|18.0|11.0|0.0|7.0|5.0|353.0|359.0|6.0|14.0|8.0|18.0|1.0|0.0|17.0|4.0|300.0|508.0|208.0
8|/rugby-top-14/calendrier-resultats-rugby-top-14?season=27591&day=all|/rugby-top-14/calendrier-resultats-rugby-top-14?season=27591&day=27555|2018-2019|19|Samedi 16 Mars|FC Grenoble Rugby|Racing 92|16|34|0|Bo|Samedi|16|mars|False|13.0|20.0|18.0|3.0|2.0|13.0|4.0|330.0|478.0|148.0|7.0|46.0|18.0|10.0|0.0|8.0|6.0|477.0|391.0|86.0
9|/rugby-top-14/calendrier-resultats-rugby-top-14?season=27591&day=all|/rugby-top-14/calendrier-resultats-rugby-top-14?season=27591&day=27555|2018-2019|19|Samedi 16 Mars|SU Agen|Stade Rochelais|19|7|0|0|Samedi|16|mars|True|12.0|25.0|18.0|5.0|1.0|12.0|3.0|293.0|483.0|190.0|4.0|51.0|18.0|12.0|0.0|6.0|3.0|432.0|437.0|5.0
