,Unnamed: 0,saison - journee,date,equipe_d,equipe_e,score_d,score_e,bonus_d,bonus_e
0,0,TOP 16 2004-2005 - 1ère journée,Mercredi 18 Août,Perpignan,Bourgoin,29,23,,
1,1,TOP 16 2004-2005 - 1ère journée,Mercredi 18 Août,Auch,Narbonne,24,25,,
2,2,TOP 16 2004-2005 - 1ère journée,Mercredi 18 Août,Pau,Toulouse,28,16,,
3,3,TOP 16 2004-2005 - 1ère journée,Mercredi 18 Août,Grenoble,Brive,23,28,,
4,4,TOP 16 2004-2005 - 1ère journée,Mercredi 18 Août,Agen,Castres,16,16,,
5,5,TOP 16 2004-2005 - 1ère journée,Mercredi 18 Août,Montpellier,Clermont,27,12,,
6,6,TOP 16 2004-2005 - 1ère journée,Mercredi 18 Août,Béziers,Biarritz,22,26,,
7,7,TOP 16 2004-2005 - 1ère journée,Mercredi 18 Août,Bayonne,Paris,10,34,,
8,8,TOP 16 2004-2005 - 2ème journée,Lundi 23 Août,Castres,Bayonne,32,26,,
9,9,TOP 16 2004-2005 - 2ème journée,Lundi 23 Août,Bourgoin,Montpellier,32,7,,
10,10,TOP 16 2004-2005 - 2ème journée,Lundi 23 Août,Biarritz,Auch,34,3,,
11,11,TOP 16 2004-2005 - 2ème journée,Lundi 23 Août,Clermont,Grenoble,17,26,,
12,12,TOP 16 2004-2005 - 2ème journée,Lundi 23 Août,Brive,Béziers,28,16,,
13,13,TOP 16 2004-2005 - 2ème journée,Lundi 23 Août,Narbonne,Agen,12,15,,
14,14,TOP 16 2004-2005 - 2ème journée,Lundi 23 Août,Paris,Pau,33,17,,
15,15,TOP 16 2004-2005 - 2ème journée,Lundi 23 Août,Toulouse,Perpignan,24,21,,
16,16,TOP 16 2004-2005 - 3ème journée,Dimanche 29 Août,Grenoble,Castres,28,28,,
17,17,TOP 16 2004-2005 - 3ème journée,Dimanche 29 Août,Pau,Biarritz,10,34,,
18,18,TOP 16 2004-2005 - 3ème journée,Dimanche 29 Août,Auch,Bourgoin,15,19,,
19,19,TOP 16 2004-2005 - 3ème journée,Dimanche 29 Août,Montpellier,Paris,49,25,,
20,20,TOP 16 2004-2005 - 3ème journée,Dimanche 29 Août,Bayonne,Clermont,27,19,,
21,21,TOP 16 2004-2005 - 3ème journée,Dimanche 29 Août,Béziers,Toulouse,28,22,,
22,22,TOP 16 2004-2005 - 3ème journée,Dimanche 29 Août,Agen,Brive,31,26,,
23,23,TOP 16 2004-2005 - 3ème journée,Dimanche 29 Août,Narbonne,Perpignan,15,35,,
24,24,TOP 16 2004-2005 - 4ème journée,Vendredi 03 Septembre,Castres,Béziers,16,12,,
25,25,TOP 16 2004-2005 - 4ème journée,Samedi 04 Septembre,Clermont,Pau,28,9,,
26,26,TOP 16 2004-2005 - 4ème journée,Samedi 04 Septembre,Toulouse,Bayonne,46,27,,
27,27,TOP 16 2004-2005 - 4ème journée,Samedi 04 Septembre,Biarritz,Grenoble,46,7,,
28,28,TOP 16 2004-2005 - 4ème journée,Samedi 04 Septembre,Bourgoin,Narbonne,57,5,,
29,29,TOP 16 2004-2005 - 4ème journée,Samedi 04 Septembre,Perpignan,Auch,36,17,,
30,30,TOP 16 2004-2005 - 4ème journée,Samedi 04 Septembre,Brive,Montpellier,28,9,,
31,31,TOP 16 2004-2005 - 4ème journée,Samedi 04 Septembre,Paris,Agen,20,25,,
32,32,TOP 16 2004-2005 - 5ème journée,Vendredi 10 Septembre,Perpignan,Clermont,43,10,,
33,33,TOP 16 2004-2005 - 5ème journée,Samedi 11 Septembre,Montpellier,Toulouse,22,23,,
34,34,TOP 16 2004-2005 - 5ème journée,Samedi 11 Septembre,Auch,Castres,13,22,,
35,35,TOP 16 2004-2005 - 5ème journée,Samedi 11 Septembre,Pau,Brive,16,14,,
36,36,TOP 16 2004-2005 - 5ème journée,Samedi 11 Septembre,Béziers,Paris,12,41,,
37,37,TOP 16 2004-2005 - 5ème journée,Samedi 11 Septembre,Bayonne,Bourgoin,16,41,,
38,38,TOP 16 2004-2005 - 5ème journée,Samedi 11 Septembre,Narbonne,Grenoble,16,16,,
39,39,TOP 16 2004-2005 - 5ème journée,Samedi 11 Septembre,Agen,Biarritz,22,12,,
40,40,TOP 16 2004-2005 - 6ème journée,Vendredi 17 Septembre,Brive,Narbonne,28,9,,
41,41,TOP 16 2004-2005 - 6ème journée,Samedi 18 Septembre,Biarritz,Bayonne,22,27,,
42,42,TOP 16 2004-2005 - 6ème journée,Samedi 18 Septembre,Paris,Bourgoin,31,23,,
43,43,TOP 16 2004-2005 - 6ème journée,Samedi 18 Septembre,Clermont,Auch,34,6,,
44,44,TOP 16 2004-2005 - 6ème journée,Samedi 18 Septembre,Grenoble,Toulouse,13,22,,
45,45,TOP 16 2004-2005 - 6ème journée,Samedi 18 Septembre,Montpellier,Pau,33,12,,
46,46,TOP 16 2004-2005 - 6ème journée,Samedi 18 Septembre,Béziers,Agen,6,16,,
47,47,TOP 16 2004-2005 - 6ème journée,Samedi 18 Septembre,Castres,Perpignan,39,25,,
48,48,TOP 16 2004-2005 - 7ème journée,Vendredi 24 Septembre,Perpignan,Paris,20,15,,
49,49,TOP 16 2004-2005 - 7ème journée,Samedi 25 Septembre,Bourgoin,Castres,19,12,,
50,50,TOP 16 2004-2005 - 7ème journée,Samedi 25 Septembre,Auch,Brive,26,29,,
51,51,TOP 16 2004-2005 - 7ème journée,Samedi 25 Septembre,Pau,Béziers,33,15,,
52,52,TOP 16 2004-2005 - 7ème journée,Samedi 25 Septembre,Narbonne,Clermont,16,15,,
53,53,TOP 16 2004-2005 - 7ème journée,Samedi 25 Septembre,Bayonne,Agen,8,18,,
54,54,TOP 16 2004-2005 - 7ème journée,Samedi 25 Septembre,Grenoble,Montpellier,37,24,,
55,55,TOP 16 2004-2005 - 7ème journée,Samedi 25 Septembre,Toulouse,Biarritz,26,25,,
56,56,TOP 16 2004-2005 - 8ème journée,Vendredi 01 Octobre,Agen,Perpignan,9,13,,
57,57,TOP 16 2004-2005 - 8ème journée,Samedi 02 Octobre,Brive,Toulouse,16,27,,
58,58,TOP 16 2004-2005 - 8ème journée,Samedi 02 Octobre,Castres,Narbonne,30,31,,
59,59,TOP 16 2004-2005 - 8ème journée,Samedi 02 Octobre,Clermont,Bourgoin,28,28,,
60,60,TOP 16 2004-2005 - 8ème journée,Samedi 02 Octobre,Bayonne,Pau,20,20,,
61,61,TOP 16 2004-2005 - 8ème journée,Samedi 02 Octobre,Béziers,Grenoble,26,19,,
62,62,TOP 16 2004-2005 - 8ème journée,Samedi 02 Octobre,Montpellier,Auch,23,17,,
63,63,TOP 16 2004-2005 - 8ème journée,Samedi 02 Octobre,Paris,Biarritz,31,21,,
64,64,TOP 16 2004-2005 - 9ème journée,Vendredi 08 Octobre,Paris,Clermont,28,19,,
65,65,TOP 16 2004-2005 - 9ème journée,Samedi 09 Octobre,Brive,Castres,19,12,,
66,66,TOP 16 2004-2005 - 9ème journée,Samedi 09 Octobre,Auch,Agen,33,26,,
67,67,TOP 16 2004-2005 - 9ème journée,Samedi 09 Octobre,Biarritz,Narbonne,39,14,,
68,68,TOP 16 2004-2005 - 9ème journée,Samedi 09 Octobre,Perpignan,Montpellier,24,17,,
69,69,TOP 16 2004-2005 - 9ème journée,Samedi 09 Octobre,Grenoble,Pau,31,24,,
70,70,TOP 16 2004-2005 - 9ème journée,Samedi 09 Octobre,Béziers,Bayonne,35,15,,
71,71,TOP 16 2004-2005 - 9ème journée,Samedi 09 Octobre,Toulouse,Bourgoin,39,5,,
72,72,TOP 16 2004-2005 - 10ème journée,Vendredi 15 Octobre,Biarritz,Brive,36,17,,
73,73,TOP 16 2004-2005 - 10ème journée,Samedi 16 Octobre,Clermont,Toulouse,26,22,,
74,74,TOP 16 2004-2005 - 10ème journée,Samedi 16 Octobre,Bourgoin,Agen,32,24,,
75,75,TOP 16 2004-2005 - 10ème journée,Samedi 16 Octobre,Grenoble,Auch,24,19,,
76,76,TOP 16 2004-2005 - 10ème journée,Samedi 16 Octobre,Narbonne,Béziers,28,21,,
77,77,TOP 16 2004-2005 - 10ème journée,Samedi 16 Octobre,Pau,Perpignan,22,0,,
78,78,TOP 16 2004-2005 - 10ème journée,Samedi 16 Octobre,Montpellier,Bayonne,13,8,,
79,79,TOP 16 2004-2005 - 10ème journée,Samedi 16 Octobre,Castres,Paris,7,7,,
80,80,TOP 16 2004-2005 - 11ème journée,Vendredi 05 Novembre,Castres,Biarritz,19,7,,
81,81,TOP 16 2004-2005 - 11ème journée,Samedi 06 Novembre,Agen,Grenoble,34,12,,
82,82,TOP 16 2004-2005 - 11ème journée,Samedi 06 Novembre,Bayonne,Perpignan,34,33,,
83,83,TOP 16 2004-2005 - 11ème journée,Samedi 06 Novembre,Bourgoin,Pau,24,6,,
84,84,TOP 16 2004-2005 - 11ème journée,Samedi 06 Novembre,Béziers,Auch,32,24,,
85,85,TOP 16 2004-2005 - 11ème journée,Samedi 06 Novembre,Montpellier,Narbonne,19,23,,
86,86,TOP 16 2004-2005 - 11ème journée,Samedi 06 Novembre,Brive,Clermont,28,12,,
87,87,TOP 16 2004-2005 - 11ème journée,Samedi 06 Novembre,Montpellier,Narbonne,19,23,,
88,88,TOP 16 2004-2005 - 11ème journée,Samedi 06 Novembre,Toulouse,Paris,32,16,,
89,89,TOP 16 2004-2005 - 12ème journée,Vendredi 12 Novembre,Paris,Brive,32,18,,
90,90,TOP 16 2004-2005 - 12ème journée,Samedi 13 Novembre,Biarritz,Bourgoin,31,9,,
91,91,TOP 16 2004-2005 - 12ème journée,Samedi 13 Novembre,Grenoble,Bayonne,26,16,,
92,92,TOP 16 2004-2005 - 12ème journée,Samedi 13 Novembre,Clermont,Castres,27,28,,
93,93,TOP 16 2004-2005 - 12ème journée,Samedi 13 Novembre,Toulouse,Narbonne,8,16,,
94,94,TOP 16 2004-2005 - 12ème journée,Samedi 13 Novembre,Auch,Pau,25,19,,
95,95,TOP 16 2004-2005 - 12ème journée,Samedi 13 Novembre,Agen,Montpellier,24,0,,
96,96,TOP 16 2004-2005 - 12ème journée,Samedi 13 Novembre,Perpignan,Béziers,33,24,,
97,97,TOP 16 2004-2005 - 13ème journée,Vendredi 19 Novembre,Castres,Toulouse,21,20,,
98,98,TOP 16 2004-2005 - 13ème journée,Samedi 20 Novembre,Biarritz,Clermont,30,16,,
99,99,TOP 16 2004-2005 - 13ème journée,Samedi 20 Novembre,Auch,Bayonne,6,8,,
100,100,TOP 16 2004-2005 - 13ème journée,Samedi 20 Novembre,Narbonne,Paris,21,21,,
101,101,TOP 16 2004-2005 - 13ème journée,Samedi 20 Novembre,Bourgoin,Grenoble,45,32,,
102,102,TOP 16 2004-2005 - 13ème journée,Samedi 20 Novembre,Brive,Perpignan,20,6,,
103,103,TOP 16 2004-2005 - 13ème journée,Samedi 20 Novembre,Béziers,Montpellier,32,19,,
104,104,TOP 16 2004-2005 - 13ème journée,Samedi 20 Novembre,Pau,Agen,35,17,,
105,105,TOP 16 2004-2005 - 14ème journée,Vendredi 26 Novembre,Grenoble,Perpignan,16,17,,
106,106,TOP 16 2004-2005 - 14ème journée,Vendredi 26 Novembre,Paris,Auch,37,21,,
107,107,TOP 16 2004-2005 - 14ème journée,Samedi 27 Novembre,Bourgoin,Brive,47,27,,
